learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
680000.0,45.453125,5.2222427394655016E-5,680000.0,83.2,0.2079002079002508,39.35018050541515,-1.8181818181818195,680000.0,5984496.0,763.0,382.0,382.0,69.0,0.0,0.0,1.0
690000.0,46.265625,5.354290685823394E-5,690000.0,83.2,-0.3536270668067987,38.23529411764705,-3.7037037037037064,690000.0,6282184.0,773.0,387.0,387.0,72.0,0.0,0.0,1.0
700000.0,47.09375,5.494650576211926E-5,700000.0,85.6,1.8739352640545344,36.84210526315788,-15.200000000000014,700000.0,6551632.0,791.0,396.0,396.0,74.0,0.0,0.0,1.0
710000.0,47.921875,5.6428953992306365E-5,710000.0,84.8,1.79863551788292,41.984732824427475,0.0,710000.0,6919680.0,801.0,401.0,401.0,74.0,0.0,0.0,1.0
720000.0,48.78125,5.80394343382472E-5,720000.0,84.89999999999999,-0.029147566178179703,36.55462184873948,-3.424657534246578,720000.0,7243944.0,817.0,409.0,409.0,76.0,0.0,0.0,1.0
730000.0,49.671875,5.978475467094945E-5,730000.0,84.7,-0.047080979284416215,31.39013452914796,-3.3783783783783807,730000.0,7575000.0,835.0,418.0,418.0,78.0,0.0,0.0,1.0
740000.0,50.46875,6.140350409421243E-5,740000.0,83.8,0.252447509389829,35.45816733067728,-1.88679245283019,740000.0,7852208.0,851.0,426.0,426.0,78.0,0.0,0.0,1.0
750000.0,51.328125,6.32930896891695E-5,750000.0,84.2,9.462851117961838,38.039215686274495,-3.2679738562091525,750000.0,8499360.0,863.0,432.0,432.0,80.0,0.0,0.0,1.0
760000.0,52.171875,6.518059998698946E-5,760000.0,83.7,12.199431181590967,38.257575757575744,2.395209580838325,760000.0,8647248.0,867.0,434.0,434.0,81.0,0.0,0.0,1.0
770000.0,53.015625,6.71155623341393E-5,770000.0,84.6,-0.23953343053525547,38.39999999999999,-4.054054054054057,770000.0,8864640.0,877.0,439.0,439.0,82.0,0.0,0.0,1.0
780000.0,53.921875,6.933087761151707E-5,780000.0,84.6,2.0866977785124847,34.18803418803417,-1.9867549668874187,780000.0,9449088.0,895.0,448.0,448.0,83.0,0.0,0.0,1.0
790000.0,54.828125,7.164436075577719E-5,790000.0,83.5,0.42004634994208045,38.661710037174714,-1.2269938650306758,790000.0,9867808.0,913.0,457.0,457.0,84.0,0.0,0.0,1.0
800000.0,55.71875,7.397002048997415E-5,800000.0,81.69999999999999,10.25012260912208,39.99999999999999,1.0810810810810816,800000.0,1.0093776E7,923.0,462.0,462.0,85.0,0.0,0.0,1.0
810000.0,56.609375,7.636065636890837E-5,810000.0,86.0,10.054609701252776,40.42553191489361,3.4482758620689684,810000.0,1.0375784E7,931.0,466.0,466.0,86.0,0.0,0.0,1.0
820000.0,57.453125,7.867442311382749E-5,820000.0,83.8,0.900460017617646,36.718749999999986,-2.5316455696202547,820000.0,1.0600056E7,939.0,470.0,470.0,86.0,0.0,0.0,1.0
830000.0,58.421875,8.143271232256666E-5,830000.0,84.5,5.547701457612245,39.922480620155035,-1.307189542483661,830000.0,1.1006024E7,957.0,479.0,479.0,88.0,0.0,0.0,1.0
840000.0,59.375,8.423730158635104E-5,840000.0,85.0,5.468937092728648,40.94488188976377,0.6622516556291396,840000.0,1.1374224E7,979.0,490.0,490.0,88.0,0.0,0.0,1.0
850000.0,60.34375,8.722662896616384E-5,850000.0,85.39999999999999,6.678257312333817,41.365461847389554,1.3513513513513522,850000.0,1.1927904E7,997.0,499.0,499.0,90.0,0.0,0.0,1.0
860000.0,61.421875,9.061817079782485E-5,860000.0,85.2,9.756097560975617,41.73228346456692,1.3333333333333344,860000.0,1.2159912E7,999.0,500.0,500.0,90.0,0.0,0.0,1.0
870000.0,62.4375,9.392189178874509E-5,870000.0,83.3,2.6579622289577403,37.218045112781944,-4.3750000000000036,870000.0,1.2573968E7,1013.0,507.0,507.0,92.0,0.0,0.0,1.0
880000.0,63.46875,9.736086287173545E-5,880000.0,83.8,10.504159899234354,38.1679389312977,-7.284768211920535,880000.0,1.2890416E7,1027.0,514.0,514.0,93.0,0.0,0.0,1.0
890000.0,64.453125,1.0072735270821592E-4,890000.0,83.0,1.607843591197923,37.728937728937716,-8.28025477707007,890000.0,1.3219624E7,1039.0,520.0,520.0,94.0,0.0,0.0,1.0
900000.0,65.4375,1.0418501436813837E-4,900000.0,85.5,6.241109070687733,38.5593220338983,-5.072463768115946,900000.0,1.357764E7,1059.0,530.0,530.0,95.0,0.0,0.0,1.0
910000.0,66.40625,1.0765798312301436E-4,910000.0,85.3,9.560723514211945,40.24390243902438,-4.255319148936174,910000.0,1.3857712E7,1069.0,535.0,535.0,95.0,0.0,0.0,1.0
920000.0,67.421875,1.1145290724622705E-4,920000.0,85.3,1.8848782571550209,40.7258064516129,0.0,920000.0,1.4443488E7,1085.0,543.0,543.0,97.0,0.0,0.0,1.0
930000.0,68.984375,1.1750211900410552E-4,930000.0,85.7,1.2267226612145656,42.8,-2.877697841726621,930000.0,1.4965152E7,1099.0,550.0,550.0,97.0,0.0,0.0,1.0
940000.0,69.6875,1.2002154301929597E-4,940000.0,85.9,1.6269918789942235,40.7563025210084,-1.4388489208633104,940000.0,1.385068E7,1115.0,558.0,558.0,97.0,0.0,0.0,1.0
950000.0,70.328125,1.2237044432873113E-4,950000.0,86.6,5.404642231885766,36.792452830188665,-9.836065573770501,950000.0,1.4173048E7,1131.0,566.0,566.0,97.0,0.0,0.0,1.0
960000.0,70.984375,1.2485573896103434E-4,960000.0,86.7,-0.7820077594567784,44.11764705882352,-3.1007751937984525,960000.0,1.4638984E7,1141.0,571.0,571.0,97.0,0.0,0.0,1.0
970000.0,71.6875,1.2757945149334974E-4,970000.0,84.89999999999999,0.532251264755428,43.65671641791044,-1.3422818791946318,970000.0,1.4973768E7,1151.0,576.0,576.0,97.0,0.0,0.0,1.0
980000.0,72.453125,1.306089022546075E-4,980000.0,85.5,3.4234714266683923,36.95652173913042,-1.3986013986013996,980000.0,1.5295024E7,1163.0,582.0,582.0,97.0,0.0,0.0,1.0
990000.0,73.1875,1.3355457566730262E-4,990000.0,86.0,2.6371425392233343,41.17647058823529,-1.449275362318842,990000.0,1.5504904E7,1171.0,586.0,586.0,97.0,0.0,0.0,1.0
1000000.0,73.9375,1.3662565842322588E-4,1000000.0,83.6,-0.018296029761526184,39.92673992673992,-5.80645161290323,1000000.0,1.582824E7,1183.0,592.0,592.0,97.0,0.0,0.0,1.0
